书名,别名,链接,信息,评分,评分人数,描述
经济学原理（上下）,经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,9.1,19646,经济学家们的世界观
简爱（英文全本）,Jane Eyre,https://book.douban.com/subject/1141406/,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5,199194,灰姑娘在十九世纪
國史大綱（上下）,國史大綱（上下）,https://book.douban.com/subject/1046492/,錢穆 / 商务印书馆 / 2013-8 / 76.00元,9.3,14265,钱穆中国通史
麦琪的礼物:欧·亨利短篇小说经典, : 欧·亨利短篇小说经典 ,https://book.douban.com/subject/1051193/,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,69493,日常的奇迹
爱的艺术,爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,39756,谦恭地、勇敢地、真诚地和有纪律地爱他人
牧羊少年奇幻之旅,O Alquimista,https://book.douban.com/subject/3608208/,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.5,146575,你自己就是最大的宝藏
荆棘鸟,The Thorn Birds,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,49778,澳洲乱世情
银河系漫游指南,The Hitchhiker's Guide to the Galaxy,https://book.douban.com/subject/1394364/,[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,8.8,20297,一场穿越银河的冒险
半生缘,半生缘,https://book.douban.com/subject/1963684/,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,78085,世钧，我们回不去了
金色梦乡,ゴールデンスランバー,https://book.douban.com/subject/5038409/,[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,9.0,25444,伊坂幸太郎代表作
你好，旧时光（上下）,玛丽苏病例报告,https://book.douban.com/subject/4166819/,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7,44348,原作名切题
尼罗河上的惨案,Death on the Nile,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,43909,阿加莎·克里斯蒂代表作
激荡三十年:中国企业1978-2008（珍藏图文版）, : 中国企业1978-2008（珍藏图文版） ,https://book.douban.com/subject/3151575/,吴晓波 / 中信出版社 / 2008-7-1 / 32.00元,8.6,16148,中国企业1978—2008
亮剑,亮剑,https://book.douban.com/subject/1088022/,都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,8.9,26229,面对强大的对手，明知不敌，也要毅然亮剑
